Temperature (°C),Pressure (atm),Catalyst Conc. (%),Co-monomer Conc. (%),Ethylene Feed Rate (mol/hr),Catalyst Activity (units),HDPE Yield (%)
86.72061498873748,171.15652623434045,18.938936931791442,41.56647328812039,103.05472072748577,65.70680022368893,84.82678571383545
91.75865321339475,132.89425192137304,18.614070179392687,41.75715850971499,106.06449948941736,70.55279880448322,85.0849519384658
88.25922509842651,169.941033315732,18.78205676757931,41.399629816282705,103.68092987840998,72.56224870062948,84.5997836677112
92.60805704221347,156.07115245814586,19.593789189420374,41.16650998032318,109.39434627927206,71.52105587326339,85.11001903703107
94.58178817332804,168.99474553335065,19.703108144134394,40.6709725637694,117.91783966175029,72.42363827959936,83.4041141005499
106.67521211848553,171.41968423359765,19.53230667848378,41.45865051949892,102.36962114976683,68.6333106098535,85.3795840689646
94.4908206188608,183.35833554696546,19.006981318256873,41.27348572411503,116.46936535788704,67.83154378334292,84.62801375739728
81.99859546070256,179.6748006766667,20.162122548343163,41.605283677475825,102.22847998727471,67.03022422632951,84.8185656604981
109.47076938797272,179.75990449679793,18.767253552314063,41.6048369940632,101.72774366540256,69.08669128284804,85.0876136537764
90.3527412920225,181.78824208714485,20.00564612773675,42.18189481588754,115.13921227526733,69.05945527635434,85.90455328521611
96.88332831085012,163.40740078139856,18.63718290679308,41.23743364782796,115.80930759679798,69.83694117198587,84.33816572737051
101.52193788763232,159.15727752149965,19.108961570965015,40.65069282345698,115.19335109637937,68.80314343003256,83.82071602278151
99.80550651854296,172.42548329037575,18.86150053179642,40.87670705775741,97.94979602606925,68.83720445672688,84.76175291814391
108.07751706957764,169.72497066656285,18.739248652468472,40.98958774881271,104.66435737471895,66.86590044073125,83.91965199295359
103.0794684091053,155.1172638022066,18.77045002982466,41.63811281621583,115.12008835792379,72.09294685160309,85.36179621897213
88.8812532669538,165.12990656305828,19.949470490925776,40.988579017076674,108.76912835750177,69.44795100322644,84.3679363299061
119.11064917956575,158.38295200792405,18.244916029425454,40.73801669985043,99.82608566037644,68.68448241212222,84.1562842995614
99.59219876462384,146.38376248793546,18.320030230771412,41.133591439331404,112.12265152940871,66.98576624845498,84.56108016405189
96.44527412613971,178.78575296395564,20.67646395076478,41.41027444824878,102.77137647711258,65.24917794334893,84.89834549044346
106.7328471832575,159.5348824715654,19.555676289898916,41.0666711601799,122.74289790622542,73.1172421371919,83.86699119087724
101.55241265267192,191.15628915968256,17.356384839388372,42.198915712170596,120.99096959851747,70.98003507398113,86.322378991714
101.50210966797228,134.68871521825915,18.425249943276427,41.51525578604642,113.27150787816691,64.34761070595128,84.38728467322375
123.01271664236226,151.22783548166046,17.573127694039204,41.349677099013036,119.3994132202026,71.54510669315118,85.11359582044423
94.65186067157858,159.46727313522598,18.090216183800056,41.30313362474213,108.94371517025317,71.9801356953324,84.25384369266129
93.63336075456792,175.52031494733285,16.191930690698236,40.76631580783941,114.47487116684286,69.54881397282416,83.51371211842734
99.18095080354784,165.50531056202806,18.894199758700648,41.648412376963215,120.3236580728445,74.04528054246923,85.018957104279
108.96148556595742,164.3726267465899,18.14802809720771,41.566650908688786,110.49478023062288,69.91555431450284,85.30790776268378
83.48443220508553,143.07209405530358,19.18536733218453,42.05794389164656,106.52722419125942,65.03389019783927,85.68721563373688
79.05444998393742,142.76713682792257,17.877405217569596,42.00280051335809,94.95177544692088,70.38988255931386,85.88751112337808
91.91429516007537,164.1498367873408,19.012691449106843,41.23001591943947,107.80811277751266,69.9712823967805,84.73180983284604
82.2386862712647,139.54408647185,18.81254594296813,41.858792607878335,115.1596249592307,67.47622919503164,85.72239482732195
93.16177194534085,151.00565848868266,20.054083727300185,41.08339221608585,115.99132809811569,70.9338068494196,84.26260677574653
102.96811521370519,166.9639884071486,20.11486505249957,41.56228457788524,112.52781030729882,64.24344909220318,84.92889781551536
88.39799091656273,144.15743052392304,19.45464637042957,40.82996937017845,104.08279218431275,72.17829295433371,84.1318494401067
84.15427407154294,183.95006179486393,18.84434393531012,41.758217059174584,92.73824492833882,66.64204362914342,85.52817479919544
100.43878801358994,179.38628451045025,21.02465841531735,42.66994669830265,104.75645626551668,66.40425014942618,87.18177049554558
107.03543367982928,136.28744900439335,17.860071486147536,41.76285393248709,106.11649088577809,68.93415061018241,85.51249854209696
79.96188369066489,144.56209716862233,17.605057615306823,41.08914954627218,105.86052052195876,70.48089491387034,83.63952259478877
106.10698926629955,125.12992345541049,18.909139840898675,41.59522035683903,113.43653401622836,69.73581377098277,84.88083160404963
105.36542701199528,147.05444891456352,20.6013217307899,40.99373194978436,124.28445690994522,66.97154531359611,83.99045621826502
107.71068234256815,171.14442955446262,18.880586704754396,41.649482395125695,109.50946252985398,67.74234658398694,85.21228915125232
110.053195029874,153.17641963688962,18.820502025721858,41.476878661019605,106.74969479689294,65.84264751293993,84.83549110144641
119.4296180295261,165.89525258930317,17.698841410843038,41.21158416016457,106.3524103438335,68.53905271904351,84.26184847866242
94.44670767086185,136.6716598631947,19.758650707479404,41.13963599902483,109.49603165489326,72.4755404033485,85.00953519631551
98.62594366820245,171.05857820272448,19.64509797031945,41.146087157986045,101.81492840064078,69.20785042878236,84.41278483427983
94.45918301766878,151.71898301245514,19.787151998657187,41.59284178020446,109.53953438873708,71.86721572366267,85.77945918768629
97.97922555683544,159.64707020486125,18.486487739041443,41.73031688279023,112.10143082931407,73.6136700825084,84.94932138659667
114.251583003597,158.91437574543383,18.665346947110066,42.06461100052059,110.29284468950013,67.5436225333412,86.15356180904236
84.73350057418821,140.58746192342377,18.01141355304975,41.57611019349839,112.18329114872512,68.70175807917734,85.22955676686863
89.27682397109811,142.1051406300629,19.038928174597213,41.60893489937781,111.95589596138251,75.75653612648459,84.85915086594233
112.0774273731063,174.2843327921045,18.21207863859237,41.775476214527906,94.36302879303604,73.60213136144363,85.38202251007586
107.89790027316675,165.22022566615308,17.982450596837037,41.085232599715326,113.55715316768146,64.21388237282206,84.62191900518233
94.16707480102552,175.07432798384818,18.610645243770534,41.35981347074222,103.1066801433499,70.39884440250749,84.74798908649538
106.69008626157897,164.49768150161307,18.64519162244557,41.52425801183708,99.7515449772648,69.26080911766732,85.18258281296471
100.3631075497323,160.7269400063487,18.30735445814543,40.495436625286274,99.53325401776152,71.66379365287705,83.68868640601497
112.77040492959765,133.4065422046378,19.31507038736915,41.21673152809491,111.9392902387287,67.00054237501907,84.7095735494847
98.88010370593925,155.56263134529505,19.096990183638106,41.547671790391405,106.73627655316011,66.73961286935746,85.1687597095894
108.91822260090305,159.6683989733489,18.93495054113541,41.8906982275624,95.12698741088886,67.26315669550524,85.82737682772154
125.1055546741396,189.39636409715033,19.317769234952536,41.63195094602291,112.40998196768994,67.57705408448055,85.85679446151674
104.17064666845735,169.970297709715,18.254192146611963,41.84886756534867,97.00684184335722,71.70782594530097,85.23706889747835
99.10033936448703,183.0720932188642,19.23598732576239,41.858990454808335,109.69445308146301,65.74433758721203,85.75882213317324
104.85795390421691,168.14236413392715,19.028853007277487,41.27843814783656,110.36217691188533,67.35925105337249,84.54185506500889
94.12925665288776,148.63975867631856,17.743078821245668,41.44391909949709,115.55737480792618,63.869341905678596,84.72758154365825
121.30167493292325,160.7511113852142,19.652054472915275,40.98113342276672,122.6812280264443,72.23522833759186,84.27749734709491
99.92840678589852,163.15508905178484,18.326777138053078,41.67108145021322,97.59855144391301,73.07107132385208,85.15962051117337
94.89265378782868,145.0819050697631,18.9777445868861,41.19032693959874,108.03295752525608,68.24515389428888,84.52748373760475
